Input,Out
how are you,"I am good, Let me know how I can help you today?"
"How are you, good morning","good Morning, how are you?"
good morning,"Good Morning, I am sam. How can I help you today?"
good afternoon,"Good Afternoon, I am sam. How can I help you today?"
gud afternoon,"Good Afternoon, I am sam. How can I help you today?"
Hi,"Hello, I am sam. How can I help you today?"
Hello ,"Hello, I am sam. How can I help you today?"
Hey,"Hello, I am sam. How can I help you today?"
yo,"Hello, I am sam. How can I help you today?"
Hello!!!!!!!!,"Hello, I am sam. How can I help you today?"
hey sam,"Hello, How can I help you today?"
Hi sam,"Hello, How can I help you today?"
yo sam,"Hello, How can I help you today?"
GM,"Good Morning, I am sam. How can I help you today?"
talk to agent,you can reach an agent on 3043763626
talk to a representative,you can reach an agent on 3043763626
speak with representative,you can reach an agent on 3043763626
manual help,you can reach an agent on 3043763626
I want to talk a agent,you can reach an agent on 3043763626
I need to speak to agent,you can reach an agent on 3043763626
I need to talk to representative,you can reach an agent on 3043763626
agent help,you can reach an agent on 3043763626
I want to talk about promotions,you can reach an agent on 3043763626
I like to know about promotions,you can find more information on discounts at cisco.com/discounts
Hey there,"Hello, I am sam. How can I help you today?"
good morning bot,"Good Morning, I am sam. How can I help you today?"
good morning cisco,"Good Morning, I am sam. How can I help you today?"
good morning there,"Good Morning, I am sam. How can I help you today?"
help with order,"service currently unavailable, please contact 3043763626"
error in ordering,"service currently unavailable, please contact 3043763626"
help with ordering,"service currently unavailable, please contact 3043763626"
need help with ordering,"service currently unavailable, please contact 3043763626"
problem with order,"service currently unavailable, please contact 3043763626"
I need help with order,"service currently unavailable, please contact 3043763626"
errorcode ,"service currently unavailable, please contact 3043763626"
getting error code,"service currently unavailable, please contact 3043763626"
error on init page,"service currently unavailable, please contact 3043763626"
login failed,"service currently unavailable, please contact 3043763626"
need new password,"service currently unavailable, please contact 3043763626"
score error,"service currently unavailable, please contact 3043763626"
error loading,"service currently unavailable, please contact 3043763626"
slow loading,"service currently unavailable, please contact 3043763626"
help,"I am glad to help, please describe the issue"
help me,"I am glad to help, please describe the issue"
help needed,"I am glad to help, please describe the issue"
support need,"I am glad to help, please describe the issue"
morning,"Good Morning, I am sam. How can I help you today?"
error,"I am glad to help, please describe the issue"
score error,"service currently unavailable, please contact 3043763626"
pricing error,"service currently unavailable, please contact 3043763626"
phone contact,you can reach an agent on 3043763626
contact,you can reach an agent on 3043763626
how can I reach you,you can reach an agent on 3043763626
need contact,you can reach an agent on 3043763626
need additional info,you can reach an agent on 3043763626
human representative,you can reach an agent on 3043763626
talk to human,you can reach an agent on 3043763626
submit button disabled,"service currently unavailable, please contact 3043763626"
another issue,"I am glad to help, please describe the issue"
help me with another one,"I am glad to help, please describe the issue"
found new issue,"I am glad to help, please describe the issue"
issue is not resolved,you can reach an agent on 3043763626
did not solve my problem,you can reach an agent on 3043763626
still problem is there,you can reach an agent on 3043763626
I still see the issue,you can reach an agent on 3043763626
no change in the issue,you can reach an agent on 3043763626
talk about discount,you can find more information on discounts at cisco.com/discounts
more information on discounts,you can find more information on discounts at cisco.com/discounts
help with discounts,you can find more information on discounts at cisco.com/discounts
discounts,you can find more information on discounts at cisco.com/discounts
talk about discounts,you can reach an agent on 3043763626
speak about discounts,you can reach an agent on 3043763626
talk about order,you can reach an agent on 3043763626
speak regarding an order,you can reach an agent on 3043763626
talk about delay,you can reach an agent on 3043763626
speak about an issue,you can reach an agent on 3043763626
more information on promotions,you can find more information on discounts at cisco.com/discounts
promotion information,you can find more information on discounts at cisco.com/discounts
discount information,you can find more information on discounts at cisco.com/discounts
I want to know about discounts,you can find more information on discounts at cisco.com/discounts
want to know about discounts,you can find more information on discounts at cisco.com/discounts
know more about discounts,you can find more information on discounts at cisco.com/discounts
talk about discounts,you can reach an agent on 3043763626
speak about discounts,you can reach an agent on 3043763626
know discounts,you can find more information on discounts at cisco.com/discounts
know promotions,you can find more information on discounts at cisco.com/discounts
talk promotions,you can reach an agent on 3043763626
talk discounts,you can reach an agent on 3043763626
